,ID,Comment
0,수구,나얘네가사는시대에살아서진짜행복해...
1,sjjsjkk,남자가봐도줫나멋있네진짜사기캐들
2,오늘날씨,진존나잘생걌네
3,김영현,방탄무대는볼수록느끼는거지만..진짜열기가폰화면뚫고나오는것같음.무대를보는데뭐라해야하지?방탄도미친것같고보는나도미친것같다.춤하고노래는완벽하고매번무대마다몸부서져라춤추는데정말무대에서온힘다쏟아붓는모습에안반할수가없다....너무멋있음
4,knowthepolitics.,카메라가미친게분명하다..어떻게웨이브를안잡아줄수가있지
5,a1228s,비싼카메라가있으면뭐하니하이라이트를찍지를못하는데..정국꿀렁꿀렁하는부분멀리서잡은거보고확짜증나서소리를질러버렸네...아후..
6,응맞아,거의콘서트수준인데ㅋㅋㅋ
7,Dark,진짜마잌드롭은애들이다즐기면서하는거같아특히노래부를때'마우리가이정도다'이러는거가태겁나고소해하고있어
8,채은,태형오빠해어밴드짱이야ㅜㅜㅜㅠㅠ
9,{태태조아}방탄만보라해,누가나한테방탄중에누개젤좋아?이러면전체다좋다고할거야진짜방탄은한명한명이매력넘치고귀엽고잘생겼고노래잘하고춤잘추고착하고재밌고등등그런데어떻게한명을고를수가..난다음생에도아미다..진짜로..
10,공준디,진짜마이크드롭은탈아이돌이다도입부홉이발에서부터다씹어먹었다
11,GreenBlue,방탄진짜이세상간지가아님..진은진짜잘생긴듯..
12,소비,이때방탄하고다른한그룹만라이브한걸로아는데진짜쩔었다
13,HRR,"방탄진짜아티스트같다...왠지다른그룹하고다름,장악력이나,실력,끼가그냥다른존재"
14,소율,어떻게한명도빠짐없이다잘생겼지?
15,아닌데,븨남자팬입니다태형이형사랑해요개섹시하네진짜
16,신짱구와이프,미늉기님..마이크를떨어트리시면..존나간지작살해서저심장터지잖어요..
17,카러플,"남자라서보이그룹은대부분거르는편인데이건거르기가힘드네요,,,방탄노래도결국돈주고다운받는지경에이름"
18,KheelMihael,"태형이인이어빼는거..진짜너무너무멋있고사랑스럽고거맙고..저한동작이무대를어떻게대하는지,팬을어떻게생각하는지보여주는것같다"
19,JIMINssi1013,진심라이브맞져?대단..ㅜ뒤늦게방탄입덕..최고임!
20,은진기,남잔데보이그룹좋아하는건방탄밖에없다ㅋ
21,다영,7:50이창섭몬뎈ㅋㅋㄱㅋㅋㄱ
22,이름성,이건무슨...예술이야...말이안나온다...대박...
23,김은주,카메라맨정말다너무잘했고잡아준것도너무많아서방금해외에서무대에서한거보고온지라비교되게잘했는데조금안타까운거는정국이의꿀렁이놓친거랑마지막호석이댄스&노래파트를다정국이얼굴만비친게호비팬으로써좀아쉽네홉
24,НастяБлохина,"Нувотзачто,самыйсасныймоментвконцемикдропснялинепростодальнимпланом,апрямоченьдальним"
