,ID,Comment
0,안주희,자막이음의높낮이로결정되네ㅋㅋㅋ
1,chanbaek6104,I'mnotevenkoreanandidon'tundrestanditbutireallylovethissong.
2,호랭이탈,오오오기아의헤즐베이커오오오기아의헤즐베이커~승리를위하여기아헤즐베이커기아의헤즐베이커~
3,신유은,요즘쓸데없이화려하고거창한곡보다듣기좋다
4,최준서,트로트무시하지말고홍진영도욕하지말라
5,김자선,♡♡♡♡♡♡
6,Kalxliapa,"Congratulations,youfoundanEnglishcomment"
7,zero,Myaunttoldmetolearnthissongforherwedding😅...fml
8,소석설,1:00
9,AlaykaFields,socute!
10,백산,배터리수명다함ㄷㄷ
11,팬티도둑엄준식,(덩실덩실)
12,shLee,와가사자막센스개쩐다진짜ㄷㄷ
13,YujiHInawa,iamtheenglishcommentyouarelookingfor
14,ryujisan,JangNaRabroughtmehere.☺♥
15,楊戬,洪真英人美歌声也甜美!每次听她的歌对我的身心都是一次疗愈!
16,그래음,근데진심우리나라는트로트부터가요까지완벽하다
17,EsraAsuman,firstiwaslisteninkdramaBrideoftheCenturythissong.ilovedsomuch.💕
18,하봄,초5인데왜이노래가당길까?
19,FlyMe,Ilovethis
20,yumso,싫어요가ㅇ웨이리많아ㅠㅠ
21,김성재도라에몽,지금코로나때문에학교못가고온라인수업을듣고있는데과학수업에서리튬이온배터리가나와서노래검색해서듣고있어요
22,hijeung,우리나라는목소리좋은사람많네.
23,알아룰루,I'mfrom2019🙈✋💜🐯
24,KhungHun,나같은초딩이들어도반하는노래.
25,반달BD,초딩들도듣는노래
26,PetiteFleur,j'aimetropcettechanson!
27,홍혜인,솔직히정말많이좋음ㅎㅎ이노래짱
28,배불뚝이,노래너무좋아완전좋아요~
29,이여누,트로트는사랑입니다~~♡♡
30,LutfiIskandar,Beautifulsong
31,김유라,노래좋다
32,abdullahalghamdi,노래가짱이야
33,LiaYesung,SuperJunior'sEunhyukeebroughtmehere!Somuchloveforthissong<3
34,허헣허헣,노래가좋음ㅎㅎ
35,NgocBi,사랑의배-러리~~~~
36,웡웡,처음부터흥겨워서미쳤어욬ㅋㅋㅋ
37,지융군,트로트는들으면참힘이난달까....그래서인지트로트를듣게되더군요
38,daniel270108,홍진영짱진짜간드러지는보이스최고
39,최경문,💖
40,unJ,1:44
41,12345678abracadabra,herefromtheloonaimmortalsongscover
42,wubbalubbadubdub,IthoughttherewouldcommentsallaboutGodJihyo
43,김지현,너무노래좋아요
44,검캑,학회에때이노래아나😝😝
45,꾸우우어어어얽,유치원생일때듣던노래ㅠㅠ추억이다너무좋아...
46,whyamialwaystired,ThissongsoundslikeRomanianfolkloricmusic.Iloveithahaha
47,LutfiIskandar,Beautifulsong
48,김민성,346324327329양산접는법생일축하합니다
49,Mugiwaraskn,GFRIEND
50,큐뷰TV,너무좋아웅노래가
51,낮에,갓데리ㅆㅅㅌㅊ
52,롱메,빠때리~♪♪♬
53,GavinDouglas,LETSGETIT
54,김패밀리,나를사랑으로채워줘요
55,홍혜인,노래짱좋다.ㅎㅎ정말추천.ㅎㅎ
56,령혜,이거맨날듣는뎅헷💘
57,박윤뿌링,추억이다ㅠㅠ초딩때트로트노래엄청좋아했는데ㅠㅠ
58,DreamerStar1,I'mnotkoreanbutIlovethisissong!!Itsoundsliketraditionalmusicjustinlove😚🔥♥✨
59,EppurSiMuove,"bunasılgüzelbirsesböyle,"
60,door,홍진영은사랑입니다♡
61,*돌멩이,나를사랑으로채워줘요~사랑의빳떼리가다됫나봐요~
62,Katarina,Koreahavearighttobeproudofthis❤️🇰🇷
63,lioee,요즘케이팝영상영어댓범벅돼서혹시나봤는데역시이장르는한국인과아시아쪽취향이구만
64,이현순,나를진영으로채워줘요홍진영배터리가다됬나봐요가수없인못살아나는정말못살아진영이짱이랍니다
65,서혜림,서넹언니생각난닼ㅋㅋㅋ
66,노철민,뭔가?트로트?
67,에에에에,오~~~~~~~~~~~~~~~~~좋아~~~~~~~~~~~~~~~~
68,소녀,난8살
69,seojinw0o,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와나...자막으로음의높낮이를표현하다니신박하다~
70,이서정,진짜오랜만에듣는다
71,김패밀리,우왕하하
72,민선이,이거노래따라부른사람✋손
73,TV민트,좋아요눌릅니다
74,장라새탓랏랴ㅛㅏㅊ하ㅛㅏ하사ㅛㅑㅅ성훈,ㅓㅓㅎ러샤랴ㅛㅑ럏
75,ㅇ,블랙캣코스프레입고사랑의배터리입고싶당>ㅁ<한달후도착한다던뎅...ㅋㅋㅋ
76,김진욱,진짜트로트에관심을갖게만들어주게한노래점점아이돌이라는게많아지기시작한시기에트로트는나에게는다소생소했지만가사와노래완벽했음.홍진영도이미나이가있음에도현역이면서도노래도많이내고있는게정말굳그나저나이때는노래재목이나가사에배터리가빠떼리인줄알았는데
77,김민성,체리색고양이
78,ريهامالشمري,👍👍😍
79,장라새탓랏랴ㅛㅏㅊ하ㅛㅏ하사ㅛㅑㅅ성훈,허ㅑㅅ샤ㅑㅛㅑㅛㅑㅛㅑ샤ㅛㅏ료ㅏ랴ㅓ사료ㅏ애ㅐ자ㅛㅑㅛㅑ햐ㅛ래ㅐ아ㅛㅏ야ㅛㅑ랴쟈ㅛㅑ샤ㅛ챠ㅑㅅ야ㅛㅑㅛㅑ타샤ㅛㅑ러ㅓ자라하ㅛㅏㅛㅑ샤ㅛㅑ랴ㅑㅛ랴하ㅑㅛㅑ랴ㅑ됴
80,juyong,99.9
81,소석설,0:15
82,장예슬,저이걸로고백했는데성공했어요ㅎㅎ
83,YINNUJIANG,홍진영화이팅
84,정상우,노래가너무좋아요
85,망개떡,전2020년기준13살인데이노래가넘좋아요ㅋㅋ
86,ShP,오늘을어떻게해야할지모르겠습니다
87,InsomniaTeaS,Lovethissong:)
88,꽁냥이TV,초딩이들어도좋다
89,진수현,내가드럼으로치는노래인데너무낭😍좋아용.
90,전인권,아자아자
91,정태순,이거우리딸이거로마술했는뎈ㅋ...???
92,O,서넹님도끝까지불렀으면좋았을텐데
93,구독안하면니미래대머리,이노래아빠한테들려부니까좋아함ㅋㅋㅋㅋ
94,유영주,덩실덩실흥이난다흥이난다ㅋㅎㅋㅎ
95,더블에이치,테슬라의배터리데이를기대하며한곡듣습니다
96,장라새탓랏랴ㅛㅏㅊ하ㅛㅏ하사ㅛㅑㅅ성훈,ㅏ랴ㅛㅐㅛㅑㅐ애ㅛㅐㅅ
97,gigicohen,shiniparkshinyoungidzikowskamusttakeolanzapinebaby!!
98,RockmanPrietoExe,이것은내가가장좋아하는노래는감사입니다....
99,아이고김사장,노래조아
100,박은혜,서넹님다않불렀는데;;;
101,여수현,저이노래2학년때부터좋아함ㅋㅋㅋ
102,김패밀리,저도이노래들어요하하
103,웡웡,아직초딩인데이노래가좋다(?)
104,윤채영,감사합니다
105,장라새탓랏랴ㅛㅏㅊ하ㅛㅏ하사ㅛㅑㅅ성훈,하ㅑㅎ앟랴ㅑㅛ래라샤햐ㅛㅑ럇아라ㅛㅑ햐ㅛ라죠ㅏㅐ샤ㅗ아ㅛㅑㅛ
106,별송님_,알수없는유튜브알고리즘오져..
107,초코초코,와~~~이건로대회나간다^^
108,HL7613,중1때췄던춤
109,11,노래너무너무좋아요~♡
110,IM썹,아메누나글타고왔습니다용.~
111,hiplus,와우~~
112,조지희,ㅋㅋㅋ졸잼
113,이나은,오오오기아의헤즐베이커
114,Apple[사과],아니싫어요왤캐많아..ㅠㅠㅠㅠ오랜만에생각나서들으러왔는데ㅠㅠㅠ
