,ID,Comment
0,용꼬리용용,장윤정박현빈잔소리보고오신분ㅋㅋㅋㅋㅋㅋ
1,이지혜,근데무대도진짜뜨거워보임
2,유현준,지옥유황불구덩이에서존나신난꼬마악마의스페셜무대같다ㅋㅋㅋ
3,얼너,서강준살찐줄
4,나나나,아니히트곡이없다니ㅋㅋㅋ다국민송인데ㅋㄱㅋ
5,MYWAY,무대매너존나노련하네행사로몇십억벌만함
6,조유진,우리학교축제때아이돌말고랩퍼들말고이분섭외하면때창장난아닐텐데ㅋㅋㅋㅋㅋ
7,미역이,와ㅋㅋㅋㅋ다아는노래야예전에는잘못느꼈는데히트곡많았구나ㅋㅋ
8,공영심,가수가오롯이본인히트곡으로행사에임할수있는것도참큰행운인것같아요..
9,이경화,박현빈가수님이나왔을때트롯이완전침체기였죠..어머나의장윤정과더불어트롯에불을부은트롯남매였죠..박현빈화이팅^^*
10,FreeSia,엄청시니컬한보컬임...세공된보석의각진느낌이랄까ㅋㅋ카랑카랑하고시원하게들리는가창력은ㅋㅋ대가임진짜노래잘한다ㅋㅋㅋㅋㅋ
11,JSYang,대가는대가다정말ㅋㅋㅋ개잘하네
12,브렛앤더슨,진짜스트레스풀때여기와서메들리들으면확풀림ㅋㅋ
13,박은우,인천문학산에서문학경기장에서노래가다들려요떨어져있어는데도현장에있는것처럼들리더군요솔찍한제성격하고도잘맞았서더즐거웠어요
14,김영자,박현빈죠아요
15,햇살같은곰쉑히,노래는진짜잘한다ㅋㅋㅋㅋㅋ확실히박현빈만가지고있는맛이있음
16,moonandsun,"박현빈이참잘한다.무대매너도좋고,저정도면미남아닌가?"
17,MinSikHam,잔소리보고왓넼ㅋㅋㅋㅋㅋㅋㅋㅋ
18,WarmJOO,앗뜨거노래방에서부르면스트레스쫙풀림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
19,Oh!honey,노래도잘하고무대매너도좋고정말멋진가수다
20,이름,0:13던질까말까던질까말까
21,으아닛,1:20가사에충실한무대
22,신순철,와우~정말좋아했지만트롯대세라정말멋지네요~~~
23,묵무크,서강준영상보다가왔습니다
24,김인만TV,진짜쉰나네우후~~~
25,김영자,아주그냥죽여죠요넘죠아요노래굿
26,박민정,박현빈가수앗뜨거노래좋아
27,l|ㅣㅣl|,서강준개잘생겼어진짜
28,꼬북,이분오늘울엄마병원왔다고해서찾아봐영~~
29,maimutaigagomahaerai,프로다무대만봐도
30,싸이버펑크,홍준표2번!~홍준표2번!~
