,ID,Comment
0,모니모니,진짜하루에한번씩본다
1,쌈무스타내쌈에고기를꾹삼킨채,"난이때트와이스가너무좋음..지금트와이스가싫다는게아니라이노래들으면그때생각나고막..어쨌든이때컨셉잘잡았었고ㄹㅇ좋았음.그리고이때죠,챙너무예뻤어.."
2,복숭아히라이,"딱봐도국민걸그룹그자체,,빨리코로나끝나서콘서트가고싶다ㅠㅠ"
3,UBREntertainment,Sukasemuanya...
4,이하,트와이스노래는추억이다.유독트와이스노래는그때의기억을떠오르게함
5,나는왜이렇게살까,항상트와이스노래를들으면노래처음나왔던그때의향기를불러일으킴..이노래는2018년봄이생각나지..개좋다
6,수민,이거진짜하루에조회수1만뷰씩늚ㅋㅋㅋㅋ뭐가어떻든간에트와이스가데뷔후5년간수도없이컴백하면서수많은사람들의추억속에매계절매순간마다녹아들어간건분명함..들을때마자추억이떠오르면서행복해져ㅠㅠ+와..또이거쓸때보다5만늚..대단하다진짜..
7,KristineNavarra,englishcommentthatyou'vebeenfindingfor.
8,남다른남다름,개인적으로왓이즈럽은다들공주같이풍성한드레스입은게제일레전든듯..2:41특히지효반묶음머리진짜공준줄알았잖아..ㅠㅠ아니근데남팬들목소리봐도봐도적응이안되네ㅋㅋㅋ
9,그냥,아니나만이런건진모르겠는데트와가한참잘나갔던161718노래들으면추억이새록새록떠오름..특히핱쉐랑왓이즈러브
10,송재용,그래도아직은트와이스인이유
11,가나다라마바사.,개인적으로왓이즈러브에서제일좋은부분은뮤비인거같음.영화를각자패러디했는데볼때마다내가봤었던유명한영화가하나씩나와서신기했음.그리고음방이나뮤뱅이런곳에서도코디를너무잘임힘❤️노래도잘뽑았고거기에더해트와이스사랑스러움이엄청많이묻혀있었던곡이라팬분들이나대중도좋아하는거같음.
12,김대연,"이영상을보고나니깐확실히대중들이트와이스한테Fancy,Ican'tstopme같은걸크러쉬한곡을원하는게아니라Whatislove,Heartshaker,TT같은하이틴느낌의곡을원하는듯최근트와이스노래들이데뷔초때기획했던하이틴컨셉의트와이스와안맞는것같은데다음번에는꼭트와이스한테맞는노래가나왔으면좋겠다"
13,JiYeonHong,이런느낌인곡은하이틴스러워서너무좋음사랑에빠진하이틴학생들이하는것같음그나저나울채영많이이뻐졌네~~~
14,Clementine,"""TWICEonlyhasfanboys""Likethiscommentifyouareagirlonce.IwanttoproveTWICEhasfangirls."
15,Imjisooimokay,Funfact:Thisisthemostviewedstagemixinentirekpop.
16,갓지효사랑해,솔직히이젠예전처럼뜨겁게트와이스를좋아하진않는다...앨범수록곡전곡다들어보지도않고...하지만그래도트와이스욕먹는건싫다탑걸그룹으로서실력이부족하다는걸비판할수는있겠지만도를넘는비난은제발하지않았으면좋겠다여태까지정말많은이들을그런방식으로안타까운상황으로몰아넣었으면서언제쯤정신차릴거냐...악플좀그만달았으면좋겠다...
17,Insungmoonjeupsu,나오마이걸팬인데이거하루에한번씩못보면뭔가오늘하루를활기차게시작하거나끝마치기힘들어
18,__,내학창시절은트와이스랑같이했다.길거리돌아다니면다트와이스노래나오고애들다트와이스좋아했었는데.그래서그런지트와이스노래들으면옛날생각나도뭔가울컥해지는게있다
19,JKKH,70%BoysOnce30%GirlsOnceImthe70%😂
20,푸딩,제왚피이런하이틴같으면서사랑스러운컨셉한번만더해줬으면좋겠다..음역대도딱괜찮고뮤비조회수도제일많고모모진성으로노래부르는곡은왓이즈러브밖에없잖아..
21,최석환,여기조회수가5천만이라는거에놀라고트와이스욕하는댓글거의없는거에또놀란다유튜브에몇몇댓글보다보면비판을넘어서혐오수준에다다른것같아서참안타까움
22,김예진,나연이진짜이쁘긴하네미친진짜개이쁘다4번째장면에서ㄹㅇ입벌러졌네ㄹㅈㄷ
23,ThoonHtike,Themostofthesoundsarelikemaleaudiences!P.SThecommentsdownareallinkoreanlanguage....
24,SofiaA,praisetheonewhostartedto'stagemix'videotrend
