,ID,Comment
45,선잉,아니왜아무도미미이야기는안해!!보라머리캡인딩!!
46,YOOA,나심장마비옴.....아린넘귀엽자너.....하.......진짜.......두근거리다못해멈춤........하라하ㅏ하하하ㅏㅎ하ㅏ하하하하하하
47,이나래,봄🌸-CLOSER🍀소나기☔다섯번째계절여름☀-BUNGEE🏖내얘길들어봐👂WINDYDAY🌬불꽃놀이🎇살짝설렜어😍💕Dolphin🌊🐬가을🍂-한발짝두발짝👣트와일라잇👻🎃Destiny🔮겨울❄-비밀정원🌌
48,한예설,아린이가장발일때만여신이라생각했던내생각은큰오산이였다....단발일때도여신이면내심장은어쩌라는거...나왜흐뭇하게보고있니....
49,이밤,이그룹은팬아니여도내마음속에한번쯤있던첫사랑그룹느낌이고약간본업은따로있지만매력때문에못빠져나오는만인의차애그룹
50,*승아,"""살짝설렜어""NO""많이설렜어""Yes"
51,eeQ,오마이걸은각자개성이다톡톡튀어서더끌리는듯너무좋다ㅠㅠ
52,이수빈,2분48초47초에비니진짜예쁘다...비니원래예쁜건알지만진짜예쁘다...
53,여누찡,승희최고!!승희팬들은여기로!!난완전승희한테심쿵❤️0:470:51목소리넘좋아ㅎㅎ1:27으앙넘귀엽자나~1:431:47표정대박ㄷㄷ2:44나도살짝(사실은많이)설렜어~승희귀엽구목소리도좋고내마음을흔든다><이거사용하신후에는이댓글에좋아요누르고댓글도달고가주세염~~^^
54,퐁순이,지호언니비주얼미쳣어대박이야..
55,시연,오마이걸노래진짜너무너무잘뽑는다클로저랑한발짝두발짝이랑비밀정원ㄹㅇ레전든데ㅠㅠ
56,지예변지예,오마이걸사랑한는사람👇
57,비까리.,승희머리카락은눈치있게알아서분홍색으로자라라+하눈치가없네🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️
58,김민지,미미아린승희가내마음속의top3
59,동그리,옴걸노래중이곡에서만큼은미미가주인공같이느껴지네요ㅎㅎ
60,이지연,💗LOOV💗
61,도파,1:18설렌표정이왜그러냐곸ㅋㅋㅋㅋㅋ
62,세빛,김미현진짜대박이지않냐.내가보라색머리하면그냥자색고구마껍질이다.
63,수많은캐럿들중1인,0:46부터1:03까지내최애부분
64,솔직히약간진짜,아니아린이외모물올랐음...비밀정원때도존예였는데이번살짝설렜어때완전포텐터짐...흐극ㅠㅠㅠㅠㅠㅠ
65,MunkhtulgaSod-Erdene,Musicbank’snewMCmaknaeArin❤️
66,오마이걸아이들,다시봐도진짜...2020년걸그룹노래중가장완벽한노래완벽하다미미님랩파트는진짜ㅋㅋㅋ얼척없을정도로완벽하네
67,갱갱,난미미파트에살짝많이설레더라.
68,실버_silver,개인적으로오마이걸노래중다좋지만살짝설렜어앨범이좋음(개인적으로)
69,다샘,진짜오마이걸멤버들은얼굴부터성격몸매까지다매력있어서한명의멤버만입덕하기가ㅈㄴ어려움;;
70,천현정,와....미미언니미쳤고비니언니미쳤고다들음색미쳤다.....
71,ᄋᄋ,진짜최아린미쳤다....옛날영상보면그냥음색은예쁜데다른멤버보다부족한게많이보이던데진짜어느순간부터노래랑춤도엄청늘고눈에도잘뛰어서진짜많이성장했다는느낌이듦.....너무멋지고자랑스럽다최아린!!
72,프쨩,이번곡은진짜미미가200%살린듯..등장하는파트마다다킬링파트ㅋㅋㅋ오마이걸에이런랩퍼가있었나깜짝놀랐음
73,ᄇᄃ,이번활동은진짜비니언니레전드인듯특히엠카무대미쳣음..🤦🏻‍♀️
74,ᄏ하쳴,효정이는진짜누가봐도순하게생김ㅠㅠㅠㅠ
75,계정,승희개예쁘다
76,뫄앜,"보라색머리분이미미..?맞죠??아징짜랩하실때랑설렜어나할때걸크터지시네요으아악!!,ㅠㅠㅠ언니사랑해..."
77,햇살같은곰쉑히,뭔가이그룹은미미가있어서좀더독특한느낌이나는것같다ㅋㅋ정통청순같은데한번씩시크하게느껴짐
78,폭주「뚝」,0:46
79,인아,이노래만들으면벌써5개월전의추억이새록새록하다....행복했었지ㅎㅎ
80,별이언니내꺼야,타팬이지만오마이걸너무호감임ㅠㅠ
81,JaelenAshryllDeCastro,I'minlovewithbinnie😭❤
82,Mynameis먹보,나는아린님이예뻐!!님들은??
83,ᄋᄋ,0:30와미미랩;;찢었다진짜언니날가져줘제발
84,PearlSugar,Songoftheyear
85,jpemt119,2:14초미미언니만에매력ㄷㄷ
86,김지현,나는그들을정말사랑해ㅠㅠㅠㅠ
87,방탄인기로등산중이예요뀨,타팬인데도이노래너무좋아서오늘검색해서들었는데....노래가...너무좋네요😄갠적으로미미라는분음색이쩔어용
88,ᅳᅳᅳᅳ,비니는왜아무말안해.ㅠㅠ비니가젤이뻐
89,홍석이,누굴센터로세워도비워보이지않는다..간지촬촬
90,넵넵,이노래진짜후폭풍개오짐..한번들을때는오좀괜찮네??이정도였는데어느샌가이노래만들음점심시간이나길에서들리면혼자마음속으로열창중임진짜원래오마이걸잘알지도못했는데너무호감인그룹..다들너무예쁘다
91,엘리나꧂꧁,0:07난이때가제일좋더라지호언니짱❤️
92,밀초칩,그데이노래뭔가좋자내가음악줄넘기다니는데이노래가나오고나오마이걸별로안보는데넘노래시크하고넘목소리도좋고노래도잘나옴(소름돋음주의노래-)
93,유동매니,오이거헬스장에서듣던노래다
94,이완우,이거교차편집맞나....효정은항상똑같이웃고있어....
95,정혜인,미미로2행시해보겠습니다.미:김미현미:사랑해
96,렌_,승희사랑해ㅠㅠㅠㅠㅠ너무귀엽자나...이쁘고ㅠㅠ♡비니은왤케이뿐데ㅠㅠ진짜...ㅠㅠ다들너무이뿐거아니냐고요오
