,ID,Comment
0,김바리,"죽어가는한국트로트다시일으킨게장윤정,박현빈아닌가,,"
1,arambae,와24살이라니....저어린나이에전국이본인노래로들썩이면어떤기분일까.
2,호호롤로로로이,"이러니,,도연우군이우리엄마장윤정이라고동네방네소문내고다니지ㅋㅋㅋㅋㅋㅋㅋㅋㅋ연우너무귀여워ㅠㅠㅠㅠ내컨디션은엄마야..라고할때이모심장금갓다...."
3,AAa00001010,저당시에볼때진짜엄청어른같았는데24살이었다니ㅠㅠ세월실감나네댓글에나이많은안티들이몰려왔누ㅋㅋㅋㅋㅋ
4,ᄒ지혜,진짜굳이비교하면원더걸스tellme급파급력..?거의신드롬이였음
5,유동균,헐대박ㅠ나이때유딩때야후꾸러니랑쥬니어네이버로막뮤비보고이랬던기억난다ㅜㅠ몽글몽글해지네ㅠㅠ근데지금보니옷이개성이너무없다국어교사처럼입고나왔누ㅋㅋㅋㅋ
6,JohnOh,줘도줘도모자란게자식인데저런딸돈을...
7,뤠리,와이때목상태가너무좋아..역시행사를많이다니고잠도못자고해서목이많이상했규나...물론지금도잘하지만이때목소리가너무좋아..
8,COREANAYUNIS유니스,목포행완행열차듣다가여기까지왓네
9,WBK,왜24살의장윤정씨에게도경완씨얼굴이보이는거죠?천생연분은확실하네요
10,얄리,동방신기가유행하던시절뮤직뱅크에서볼수있던유일한트로트어머나짠짜라
11,Sun-Whoo,"가요계를평정한마지막트로트곡...지금도그렇지만저때도트로트입지가좁았었는데,그래서어머나인기는진짜독보적이었음.저런대히트곡으로데뷔했으니장윤정커리어무엇ㄷㄷㄷ"
12,덩댕이,와..24살이라니..진짜어린나이에노래도잘했네!ㅜ
13,ai,나엄청애기땐데이노래가사모르는동년배없을정도로신드롬이었다.여자의맘을갈대라고빗대어표현한게뭔소리인지도모를정도로어릴때였는데다외웠음젊은사람도트로트를부를수있다는인식을심어준사람이었고..저땐송대관태진아머이런할아버지만부르는줄알았음ㅋㅋㅋ
14,김정윤,하영이가보인다
15,이희영,장윤정씨정말고생많았지요.써프라이즈에도몇해나오곤했는데..쭉~행복하세요.
16,seoulcity,14년이지났지만가사가다기억난다ㄷㄷ
17,김연자,♡♡♡
18,malignveracityscrupulousprecarious,어머나-짠짠짠-꽃미친3연타진짜최고였음발라드풍트로트도성공시키고정말다좋아했음
19,JYAhn,99년강변가요제대상수상하시고잘안되시다가..'어머나'곡받고처음에많이우셨다고하셨죠ㅠ.최고의선택이었어요!!!👍
20,뾰로롱,실제로가서들르면진짜옥구슬이굴러가는소리...어쩜그렇게잘부르는지
21,쿄쿄ᄒᄒ,24살인데지금이랑똑같네..얼굴이어른스럽게생긴듯ㅋㅋ글구트로트불러서나이있다고생각했는데24살이었다니...완전어렸구나ㅠ
