,ID,Comment
0,큐리,태풍바비온대서기념으로보러옴.
1,꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂꧁꧂,체크해보겠습니다2020하반기는손을들어주세요
2,FrédéricFrançoisChopin,이건ㅅㅂ쇼팽인내가들어도가슴이웅장해진다
3,ᄉᄒ,아니어떻게고등학생이무대장악력이ㅋㅋㅋ
4,랄라,진짜레전드인건바비가저무대할때나이가19살이었다는거임ㅋㅋㅋㅋㅋ요즘고등래퍼라는프로가생겨서그렇지바비는애초에십대때쇼미1등한것부터걍쌉레전드인거ㄷㄷ
5,동글동글,바비랩앨범좀내줘제발...무대장악력ㅈ되네진짜
6,TMI,이걸이긴랩은널렸지만이걸이긴무대는아직까지도없는거같다
7,denissechuco,2020andIstillcan'tgetoverthisperformance
8,TreeT,Bobby'slevelofhypeisoutofthisworld.BeenwatchingSMTMsinceseasonone.SomehowstillgobackandlistentoBobby'ssong.Hedidn'tneeddancersorabigstage.
9,ᄏᄏ,좆나이만한무대다신못나올듯...장악력미쳣노
10,아햏햏,3:23이거눌러보지도않고어디인지알것같으면좋아요박아봐
11,그냥그냥,다시봐도느끼는거지만초반에박자놓지는거나발음뭉개지는거호흡딸리는거등등단점들이보이는데무대장악력하고간지로그걸다안보이게하네ㅋㅋㅋ진짜그두개는탑급인듯대단하다ㅋㅋ
12,HWANS,바비쇼미한번나오면씹어먹을꺼같은데
13,개팡슨.,"바비가ㅈㄴ대단한게본선2차무대빼고다피처링없이혼자함.요즘쇼미에선피쳐링이기본옵션인데.그런데도무대장악력,제스처,텐션이지려서무대를혼자해도지루하지가않음"
14,귀여운데용,3:18전설의대한민국힙찔이대량생산씬ㄷㄷ
15,김태인,누군가우리나라힙합르네상스시작이언제냐고묻는다면3:18이장면을보여주면된다
16,냠냠,지디현아바비이런애들보면ㄹㅇ무대체질따로있구나느낌얘네보다랩잘하는사람은많지만얘네처럼무대하는애들없는듯ㅋㅋ천상연옌
17,hahyunlee,"WasneveraBobbyfanfromthebeginning.Tobehonest,inthebeginningepisodesIthoughtBobbywastoooverhypedespeciallywithhisrepeatedslip-ups.Hehasdefinitelyprogressedandearnedmyrespect.LosinginthatYGshowwasprobablythebestthingthatcouldhappentohim.Thisshowhasmoldedhimintobecomingatruehip-hopartist.HeshouldgetintobecomingasolorapperinsteadofbeingintheK-Popscene.Onlyrappersink-popInowrespectisZico,Mino,andnowBobby.Goodwork."
18,유준수,"솔직히힙합을우리나라음악에서메인부류로끄집어올린장본인임.이때원곡인일리네어,MC메타의연결고리는몰라도바비의연결고리모르는사람거의없었고리스너들도연결고리비트가길거리에서나오게될줄은아무도몰랐다는데ㅋㅋㅋㅋㅋ쇼미충이란존재가만들어진게정확하게바비로인해생겨난건인정해야됨랩스킬과별개로무대씹어먹는퍼포먼스는래퍼들통틀어도손에꼽는듯"
19,홍범기,19살에고등래퍼나갈시기에쇼미더머니나와서피처링없이저렇게했다는게ㄹㅈㄷ인거임
20,-민석,2:32가사가잘안들리자희망이생긴바스코2:43관객반응이좋자의아한바스코3:56나라잃은바스코
21,무서운마네킹,쇼미시즌나율때마다보러오는데이거이기는무대가없네시발ㅋㅋㅋㅋㅋ
22,FaridaIkedaYamizaki,icanconfidentlystatethatnorapperhasthesamestagecharismaasbobby-heOWNSthestage
23,개방의군주,3:26초한국공연방송씬중에이것보다멋진컷이있을라나
24,JangWonyoung,greatestsmtmsongeveralongwithturtleshipandfear
25,CyanidePandemonium,"Absolutelynoonedoesitlikehim.Andhewasjust18here,fkninsanee."
26,EmptyNet,바비는뭐라해야하지랩보다는힙합을잘하는느낌이라해야하나
27,아대,수십번을보지만이건쇼미역대급무대임
28,ClaireK,ItisSMTM9erabutIstillcouldn'tgetoverwithSMTM3BOBBY.Hisstageperformanceisnokidding.
29,진짜울리고싶다,와너무멋있다진짜..개섹시해..이걸이제서야보다니근데얘지금어디서뭐해요이렇게멋있는데
30,InkiYun,바비때문에내일알바취소돼서바비안넘어간다돈벌기힘들다바비너는잘벌고있냐
31,DayEvery,다시보니미쳤고소름돋네허허
32,VivianaChan,"BobbyismostenergeticrapperIhaveeverseen,aftershowmethemoneyseason4andnowseason5,thereweregoodsongs,butInevergotthathyperfeelingthatBobbygaveatseason3!!!!!!"
33,mkextra05,IhopeKoreansknowBobbyisatrueworldclassrapper.YGsucksforwastinghim.Hisskillsetisoneofakind.Youcan'tfindanyonelikehim.He'sveryunique.
34,김유철,진짜바비연결고리때문에힙합자체를알게된사람들되게많을거임그당시에바비가한연결고리가영향력이지리긴했음
35,김무옥,요즘yg왜일을안하는거같냐?블핑빼고는전부소식이깜깜...바비썩혀두는거너무안타깝다ㅜ
36,김강현,쇼미9보고실망해서바비보러온사람손!
37,SuperKorean,첫아이태교를쇼미3로했더니이노래를알고있네..4살바기갘ㅋㅋㅋㅋ
38,신영광,"3:24진짜이때존나멋있었는데지금봐도진짜씹간지네,,,,"
39,ᄆᄎ,ㅋㅋ언제봐도레전드사실상인맥없이우승한래퍼중한명이지오히려아이돌이어서래퍼들한테도개까이고대진운도쓰레기였는데
40,InhoJung,ㄹㅇ쇼미3바비파급력엄청났지이때이후로힙합이대중화된듯근데그에비해바비는쇼미버프를별로못받은듯..오히려프로듀서였던일리네어가대박을쳤었지
41,AsmaaCorduva,twoseasonafterbobbyyetnoonelikeorevennearhislevelheownsthestage
42,서지석,아직도보냐고그만물어봐라내일도볼거다
43,아다,조금과장해서한국힙합역사가바뀐날이다이무대하나로얼마나많은대중들이유입됐을지
44,양말!,인생노잼일때이거봄ㄱㅅ
45,MyStory,아그댓글어디갔냐ㅋㅋㅋㅋㅋ카메라워크랑스토리만보면바비미안랩소디해서영화하나내겠다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
46,CristinaCésar,Holysht!03:22Thepublicreactionwassick!
47,코구멍,저기서진짜간지나는건준결승이고상대가바스코인중요한무대인데그와중에차메인발견하고가서하이바이브하는여유까지보여준모습.
48,공시합격꿀팁-공시청,주기적으로듣는바비무대2020.8.
49,오마이걸아이들,쇼미시리즈중사실최고명장면ㅅㅂ무슨락페스티벌인줄;;;;힙합으로대동단결ㄸ
50,kimjunkyutie,"ThestageisBOBBY’S,doyouhearme.IT’SHISSTAGE,andthat’sfinal."
51,ninjaturtle2210,18yearsoldboywith1yearrapexperienceWONtheshow😏whatarealtalentThebestSMTMseasonever.KINGBOBBY😊
52,한국인,이게레알한국힙합에한획을그은무대아니나
53,방울윤,바비가지금나오면우승못한다고하는애들.바비가그때무대장악력만으로바스코씨잼아이언올티잡았다
54,정지성,여기마지막부분은카메라구도도진짜한몫한듯간지나는무대를더간지나게만듦그리고마지막사비에서일렉기타소리가레전드였음.
55,IGotGene,쇼미더머니역사는이무대전과후로나뉨
56,What'sUpMr.Stark,"oneofthereasonsbobbyhassuchgreatstagepresenceisbecauseheliterallygetspossessedbythebeat.Hecan'thelpbutmovehisbodyinwhateverformthemusictakes.Whetheritbethesimpledrumbeatsthatgetshimheadboppingandkneedroppingortheguitarshredsthatcausehimtolowkeyspazz.Thatkindofenergyisalreadyinthecrowdandwhenyouseehimasthevisualrepresentationofthemusic/beat,astheaudienceyoucan'thelpbutbedrawnin.Youseeiteverywherethiskidgoes.Playanyformofbeatwithinhearingdistanceandhe'llstartmoving."
57,송송아아,이무대땜에힙찔이들대량으로생산됐다ㄹㅇ나도그렇고
58,dododid,"진짜이무대볼때마다원통함ㅠㅠㅠㅠㅠㅠㅠㅠ양현석보석함에갇혀서하ㅠㅠㅠㅠㅠ계속힙합커리어쌓을수있었는데,,,"
59,예?예?,ㄹㅇ나는힙합대중성을바비가살렸다고생각함
60,K,WatchingsmtmBobbystillmakesmesodamnamazed.It'sinsanethatthisBobbyimstanningisakingwhoownsthisimmensetalentandcharismawhichclearlysethimapartfromotheridols.Wow.
61,우드드다,쇼미가거듭될수록재평가받는바비ㅋㅋ
62,디자이너,저때관중들이지금보다훨씬호응도잘해주고무대를더즐기고더잘노는것같음.지금은중독성있는훅아니면호응도잘안해주니...
63,mimyun,Therecanbebetterrappersthanhimbuthisstagepresenceisonanotherlevel...
64,박영운,바비쇼미3본선중감성팔이곡하나도안했음
65,linaqaldani,"Heisabsolutleythebest.Hefeelssogoodwhathe'sdoing.Idon'tunderstandwhyIkonandespeciallyBobbyaren'tworldwideKpopgrouporrapper.It'sreallystrange,bcztheyareonlygroupaboutwhomIwantedtoknowmore.AndBobbywithhistalentisthereasonwhyIwanttostantoikon❤️"
66,CharlesPark,"바비가대단한게뭐냐면,안그래도힙합부심,언더부심등부심이심한씬인데,yg출신아이돌연습생래퍼가들어와서,엄청안좋게봣었음.특히스윙스가극혐할정도로싫어했고,같이경쟁한바스코,올티도존나싫어했는데,결국끝나고는다들인정해줬음.특히연결고리무반주후에들어가는장면은진짜지릴뻔했다.랩을잘한다기보다힙합을잘한다는표현이맞는거같음.기존랩퍼들도랩은본인들이더잘한다하더라도,자기들에게없는부분,못하는부분을바비는가지고있기에이부분을리스펙한다고생각한다.스윙스가 정리를해줬었지.'쟤는힙합의멋을아는애'라고.아나글존나못쓰네"
67,000,저때yg연습생ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ씹오진다ㄹㅇ
68,이현주,라이브가더좋네;
69,PrincekurtMontales,WherecaniwatchSMTM3?IreallywanttoseehowBobbywonandhowhisjourneywent.
70,서재형,쇼미야바비는못데려와도..저기카메라감독이라도어떻게다시모셔오면안될까???ㅜㅜ
71,경기불,ㅋㅋㄱ엠넷은바비한테상하나줘야하는거아니냐쇼미더머니대중화에한몫햇지유툽조회수2000만뽑앗지ㅋㅋㅋ
72,Sandxxi,Whenulistentospotlightthenthis?🤣🤣🤣BRUHHHHMYEARSAREBLESS
73,오잉옹,얜그냥전날에서바이벌믹스앤매치무대하고바로다음날쇼미더머니파이널무대한거부터가레전드아닌가?바비무시하는애들존나이해안감내로라하는애들도서바이벌프로그램두개하라고하면멘탈무너질텐데바비는둘다완벽하게잘함
74,남성덕,지금봐도소름돋네시버ㄹ바스코똥줄ㅈㄴ타는표정보소
75,조성원,"좀비떼를지휘하는지휘관의모습이네,,"
76,EllaLotivio,"YGhitthejackpotthemomenttheyacceptedBobbyintbh.It'slike,YangHyunSukjustaskedforabread,butGodgavehimhamburgerinstead.Withfries."
77,ᄒᄍᄑ,쉬바ㅋㅋ피처링도없이무대혼자난도질하고다찢었네;;이건다시봐도레전드다
78,YooYoo,너무아쉽다와이지에서갇히지만않았어도벌써레전드무대수십개만들었을텐데...원통하도다
79,혜훈,"진짜쇼미올타임레전드무대간지,퍼포먼스,카메라워킹,장악력미쳤다아직넘을무대는없는듯이번쇼미9기대해봄"
80,아구창불빠따,하고싶은말다하고나서디제이킥뎃쓋하고비니로눈가리고잡소리다ㅈ까라는듯볼륨을높여줘비트에몸을띄우는게ㄹㅇ그냥힙합이였다그냥자유와통제에대한반항을패션과춤노래로다표현했다고생각한다.
