,ID,Comment
0,JL,와진짜......그어려운thetimegoeson노래를직접피아노로쳐서랩을할줄이야....피쳐링도다른무대들이랑다르게별로없고적당하고..신나는무대도잘어울리고진짜ㅏ계속확신이있는자신에대한신념이랑믿음도멋있고막누군갈까지도욕하지도않고계속감사하다고하는비와이가진짜너무멋있다..마지막에결승전올라가서인터뷰에서다른래퍼들이계속이기고싶다고할때비와이는좋은무대를더만들고싶어하는데에감동받고오직실력으로밑바닥부터여기까지올라왔는데진짜확신에찬눈빛이나까지확신에들게해서걍이기고지고를떠나서다음무대가너무기대된다!!!!!앞으로얼마나더성장할지기대됨..지금처럼다른이상한말하는악플러들신경쓰지말고쭉좋은랩보여줬으면좋겠다
1,TV디져오바,"비와이-DayDayTicTocTicTocTicTocTicToc시간은가지TicToc그시간속에서기도로나는매일손을모으고하늘로부르짖어의심대신에확신을두려울땐담대함이늘나에게머물도록내가나약한내자신을의지하는것이아닌아버지당신을의지하기에나를세우소서나는아직까지너무도미비하기에그러나미비한만큼창대하다는것을믿지언젠가지금은먼미래지만오늘이되겠지언젠가모든것을당연히여기지않아내가여태지나온거리위많은발걸음이나를만들었고하루종일빛나는내삶을주신주함께내한계를부셔버릴그날을아름답게맞이하기위해서바로지금여기에서있지나는내삶은신이만든예술작품의featuring나의불완전함을사용하는창조주의Symphony나로인해서쓰여지는위대한History어쩌면이모든건내이야기가아닌Hisstory(DayDay)Putyourhandsup(DayDay)DayDay한번돌아가보자고YesterdayDay너가바로소녀였을때에핑계만가득했었지미래에대해소망과두려움이내안에공존했을때에YeahYeah그때에난거짓말쟁이나를매번속이며내안엔원하지도않던헛된바램이어느샌가부터생겨그걸따라가다보니나보단이세상이더행복해했어IaplogizetomyselfI'msorry내가원하는걸인정하지않아서미안해허나내무의식은언제나내영이원하는곳으로가게만들었지더큰꿈에집착하기시작해내행복이자각돼아직창대하진않지만내날이올걸알았네Iknowmadayday(얼굴좋아보이지오늘It'smydayday너도행복하길바래Youmakemadayday자고일어날때마다새로운madaydayIjustwannadancedancelikemybirthdayday)DayDay내가자랑스럽다고말해Baby이제꿈을이뤄줄차례Mom&DaddyShalom모두가나를원할때에(Ijustwannadancedancelikemybirthdayday)난선택받은자색다른삶에사는날이가득하네예감이아주괜찮은날씨하늘과태양은밝다못해아름다워맥박은차분해말은안해도느껴질걸이제나는어제날을바라보지않네Idon'tcare지금의나로말하면Oneofcosmosmost왜냐면내가중심에굳건히있잖아주인공인마냥너는주인공이니까넌왜아니라고생각해너도마찬가지란말야이미가졌다고생각하고움직여봐믿음은바라는것의실상이고안뵈는것의증거니까니머리아닌영혼이가는대로가기대하고기다리는자에게비가내리는법이야축복은내가벌린입만큼들어오는거니까순수함을우리모두가절대로잃지안길원해난너의날은어차피올테니깐편하게미리너를꺼내놔LadiesandGentleman,JayPark박재범:Alwaysonmygrind늘내가꿈꾸던삶을살아너도봤잖아Finallyi'mdone난나를계속움직이게해너의날들에내향기가베이게You'rewelcometomydayday비와이:Putyourhandsup!(얼굴좋아보이지오늘It'smydayday너도행복하길바래Youmakemadayday자고일어날때마다새로운MydaydayIjustwannadancedancelikemybirthdayday)박재범:yeahyeahyeah!비와이:내가자랑스럽다고말해Baby박재범:Bababy~비와이:이제꿈을이뤄줄차례Mom&Daddy박재범:DayDayDay~비와이:Shalom모두가나를원할때에박재범:어어어어어비와이:Ijustwannadancedancelikemybirth(yeah!)WannadancelikemybirthWannadancelikemybirthdayday"
2,syabelharu,또보고또봐도소름돋는도입~!!최고의무대연출보여준어나더레벨의비와이!!!!
3,현아,우리오빠가이노래두시간동안계속들었어요ᆢ에구ᆢ비와이화이팅♡노래잘부르고ᆢ얼굴도잘생겼다~~!!딕텀~딕텀~^^
4,MariHyeon,멋져요진심힙합이나랩을모르는데정말멋져요시즌송민호비와이멋져요대박
5,ᄋᄋᄋᄅᄋᄅ,"한번돌아가보자구yesterday day너가바로소녀였을때에핑계만가득했었지 미래에대해 소망과두려움이 내안에공존했을때에 yeahyeah그때의 난거짓말쟁이나를매번속이며 내안엔원하지도않던헛된바램이어느새부턴가생겨그걸따라가다보니 나보단이세상이 더 행복해했어iapologizeto myself,i'msorry내가원하는걸 인정하지않아서미안해허나내무의식은언제나 내영이원하는곳으로 가게만들었지 더 큰꿈에집착하기 시작해내행복이자각돼아직창대하진않지만 내날이올걸알았네 iknowma day day 얼굴좋아보이지 오늘it'smy day day너도행복하길바래 youmakemy day day자고일어날때마다 새로운my day dayijustwannadancedancelikemybirthday day내가자랑스럽다고 말해baby이제꿈을이뤄줄차례mom&daddyshalom!모두가 나를원할때에 ijustwannadance dancelikemybirthday day난선택받은자색다른 삶에사는날이가득하네예감이아주괜찮은 날씨의하늘과태양은밝다못해아름다워맥박은차분해 말은안해도느껴질걸이제나는어제의날을 바라보지않네idon'tcare지금의나로말하면 1ofcosmosmostwanted 왜냐면내가중심에 굳건히있잖아주인공인듯행동해 주인공이니깐 넌왜아니라고생각해? 너도마찬가지란말이야이미가졌다고 생각하고움직여봐 믿음은바라는것의실상이고 안뵈는것의증거니까 니머리아닌영혼이 가는대로가기대하고기다리는 자에게비가내리는법이야축복은내가벌린입만큼 들어오는거니까순수함을우리모두가 절대로잃지않길원해난너의날은어차피올테니깐편하게미리너를꺼내놔alwaysonmygrind 늘내가꿈꾸던 삶을살아너도봤잖아finallyi’mdone난나를계속 움직이게해너의날들에 내향기가배이게you'rewelcome tomy day day얼굴좋아보이지오늘it'smy day day너도행복하길바래 youmakemy day day자고일어날때마다 새로운my day dayijustwannadance dancelikemybirthday day내가자랑스럽다고 말해baby이제꿈을이뤄줄차례 mom&daddyshalom!모두가 나를원할때에 ijustwannadance dancelikemybirthday day"
6,수진,비와이는그냥멋있다ㅠㅠ데이데이가사너무멋있어....그냥실력으로승부함잘생겼고인성좋고ㅠㅠㅠ
7,BrianDiaz,definitelythebestperformance
8,HOWCh,진짜비와이때문에  종교에대한이미지가좋아짐.믿음이란걸이렇게긍정적으로보여주는사람이있었나싶다
9,marijad,funkyandreggaestyleinthesametime+hiphoppwelliguesswehaveaWinnerthisseason
